name,style,price,filename
amy,cream & lemon,30,amy-creamlemon.jpg
betsy,red,30,betsy-red.jpg
freya,red,25,freya-red.jpg
gardenia,purple,35,gardenia-purple.jpg
haley,red & black,12,haley-redblack.jpg
heidi,gold,25,heidi-gold.jpg
heidi,red,25,heidi-red.jpg
hibiscus,gold & cream,30,hibiscus-goldcream.jpg
iona,black & gold,25,iona-blackgold.jpg
ivy,turquoise & grey,25,ivy-turquoisegrey.jpg
leah,black & silver,35,leah-blacksilver.jpg
leah,mauve & purple,35,leah-mauvepurple.jpg
leah,pewter & cream,35,leah-pewtercream.jpg
lisa,blue & gold,20,lisa-bluegold.jpg
lucy,burnt_orange,25,lucy-burnt_orange.jpg
lucy,pink & grey,25,lucy-pinkgrey.jpg
lucy,turquoise & lime,25,lucy-turquoiselime.jpg
nicole,amber & cream,20,nicole-ambercream.jpg
olivia,black,20,olivia-black.jpg
pansy,gold,25,pansy-gold.jpg
phoebe,black & gold,30,phoebe-blackgold.jpg
phoebe,mauve,30,phoebe-mauve.jpg
pippa,gold,30,pippa-gold.jpg
rose,white & crystal,20,rose-whitecrystal.jpg
tabitha,black,18,tabitha-black.jpg
tabitha,blue,18,tabitha-blue.jpg
tabitha,mauve,18,tabitha-mauve.jpg
tabitha,red,18,tabitha-red.jpg
tamsin,coral & purple,30,tamsin-coralpurple.jpg
ursula,grey & gold,30,ursula-greygold.jpg
zoe,pink,25,zoe-pink.jpg
zoe,red,25,zoe-red.jpg
